sample_name,measurement_file,cell_name,direction,column_name,Efficiency,Fill Factor,Imax,InPower,Isc,Jsc,Pmax,Rs,Rsh,Vmax,Voc,fit_I_ph,fit_I_s,fit_n,fit_R_s,fit_R_sh,fit_R_squared,fit_RMSE,Mg,P,S,Fe,Cu,Zn,Pd,Sn,Pb,10.5min-391.3,10.5min-493.4,10.5min-771.3,11.2min-1028.4,11.2min-1148.4,11.8min-998.4,13.5min-189.0,13.5min-1225.4,11.8min-100.7,4min-214.1,4min-230.2,5.5min-123.0,5.5min-244.2,5.5min-101.2
1_LotF259031,PSC30＿水準9,セル10,Reverse,1_LotF259031_PSC30＿水準9_セル10_Reverse,11.6512142153644,0.520712062525711,1.059391,1.0117,1.432771,23.5188936309915,0.70979197,162.007377686374,69626.1287871198,0.67,0.951385790695799,0.0014627348808669,1.0978457665057317e-07,3.955155465299385,100.6425582056138,5023.734996693895,0.9991634691171845,0.0250797903776323,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル1,Forward,1_LotF259031_PSC30＿水準7_セル1_Forward,12.04808913,0.56242261,1.095477,1.0117,1.347254,22.1151346,0.73396959,169.3722615,14641.0286,0.67,0.968647614,0.0013356271954009,4.357701199734089e-07,4.7009884227887975,84.07061697632506,6416482.802648378,0.99984067395624,0.010280674218556,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル1,Reverse,1_LotF259031_PSC30＿水準7_セル1_Reverse,13.42725476,0.608169809,1.120532,1.0117,1.342199,22.03215693,0.81798836,126.9722924,179993.4548,0.73,1.002086833,0.0013405472270847,1.182510588704556e-07,4.175860211138331,63.578448555297,5283693.216347237,0.9987974376661732,0.0277941416190515,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル2,Forward,1_LotF259031_PSC30＿水準7_セル2_Forward,12.00702249,0.562763816,1.091743,1.0117,1.364936,22.40538411,0.73146781,170.5564045,25195.8404,0.67,0.95226268,0.0013510939066747,2.605162281802602e-07,4.33941387783394,93.13717844108676,6905889.386576053,0.9997468715740644,0.0135955034747563,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル2,Reverse,1_LotF259031_PSC30＿水準7_セル2_Reverse,12.79070322,0.573260698,1.052986,1.0117,1.364207,22.3934176,0.77920964,133.5821702,31926.62681,0.74,0.996372827,0.0013520110607761,3.492019453549007e-07,4.703795133469242,56.55892050193199,27882.59844994673,0.9987290057097624,0.0292079096988019,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル4,Forward,1_LotF259031_PSC30＿水準7_セル4_Forward,12.83231238,0.611027217,1.132963,1.0117,1.362038,22.35781353,0.78174447,149.3777907,34486.36221,0.69,0.939323176,0.0013646713766067,1.3578069682551476e-07,3.999999999943588,89.24008810380887,9999958.295147248,0.99785265427559,0.0419696636828434,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル4,Reverse,1_LotF259031_PSC30＿水準7_セル4_Reverse,13.63925542,0.606392237,1.093294,1.0117,1.362915,22.37220946,0.83090344,119.6815466,89688.53617,0.76,1.005375164,0.001341333727585,9.630771369682377e-08,4.099004423576451,55.36714536984145,3691788.566623197,0.9983060912918458,0.0339722096181447,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル5,Forward,1_LotF259031_PSC30＿水準7_セル5_Forward,11.46919599,0.549573656,1.126941,1.0117,1.373264,22.54208798,0.69870342,196.2648445,11088.4116,0.62,0.925790941,0.0013689714700914,1.617922444067096e-07,3.999999999931797,124.44113308298944,9992088.7231389,0.9997566297205668,0.0134076830513535,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル5,Reverse,1_LotF259031_PSC30＿水準7_セル5_Reverse,12.63623638,0.572171972,1.069166,1.0117,1.37268,22.53250164,0.76979952,150.7053462,30642.37562,0.72,0.98012564,0.0013537473162529,2.562607897993068e-07,4.4549344913008735,79.86251969814997,4267387.348813561,0.9990491500396054,0.0250578952839133,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル6,Forward,1_LotF259031_PSC30＿水準7_セル6_Forward,12.7478498,0.585449695,1.159103,1.0117,1.401184,23.00039396,0.77659901,169.7700058,40583.41737,0.67,0.94669935,0.0013960947287526,1.2975857227687434e-07,3.999999999949994,104.271848968305,9999999.999896258,0.9988965425766948,0.0285610366543077,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル6,Reverse,1_LotF259031_PSC30＿水準7_セル6_Reverse,13.59389232,0.588409675,1.119108,1.0117,1.400526,22.98959291,0.82813992,140.853105,26616.76695,0.74,1.004922892,0.0013888849378983,2.795720239533684e-07,4.602883040134447,64.83914549683978,3634102.264356705,0.999323151127882,0.020501361582448,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル7,Forward,1_LotF259031_PSC30＿水準7_セル7_Forward,10.67734389,0.484435582,1.102481,1.0117,1.397484,22.93965857,0.65046379,277.3381583,9129.085266,0.59,0.960816044,0.0013842614014908,1.2180992239528625e-07,4.026464661027308,198.40486387752824,4188950.965199268,0.999621578258872,0.0136708049918813,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル7,Reverse,1_LotF259031_PSC30＿水準7_セル7_Reverse,12.02629678,0.523797714,1.0618,1.0117,1.396196,22.91851609,0.732642,233.7924276,17804.34642,0.69,1.001801837,0.0013906820310949,4.655935627044766e-07,4.9056385179518704,138.34915984780733,868461.9980977968,0.9993095988140168,0.0176130366049583,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準7,セル8,Forward,1_LotF259031_PSC30＿水準7_セル8_Forward,10.12604596,0.5001567,1.063584,1.0117,1.405169,23.06580762,0.61687872,212.6156337,4155.428122,0.58,0.87773848,0.001385802844768,5.132804065734109e-07,4.336292847351857,136.18272373939857,7694840.003349193,0.9997026732905502,0.0160381565766873,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
