[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-006.lcd
Output Date,2026/03/04
Output Time,15:47:10

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.660,2.525,2.858,175519,30759,5.706,2.398,   ,1,Methyl paraben,0.000,4228,35.478,1.202,0.000,0.000,0,0,25.063,25.063
2,3.253,3.108,3.425,192088,36032,5.331,2.378,   ,2,Ethyl paraben,0.223,7060,21.246,1.171,3.723,0.000,0,0,24.852,24.852
3,3.968,3.833,4.133,127901,27158,4.709,2.398,   ,3,Propyl paraben,0.492,13063,11.483,1.176,4.869,2.206,0,0,25.063,25.063
4,4.664,4.533,4.817,136373,31665,4.307,2.395,   ,4,Butyl paraben,0.753,20407,7.350,1.187,5.164,1.532,0,0,25.023,25.023

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,1201
6.54167,5045
6.55000,5064
6.55833,5082
6.56667,5100
6.57500,5117
6.58333,5133
6.59167,5150
6.60000,5166
6.60833,5182
6.61667,5195
6.62500,5208
6.63333,5220
6.64167,5232
6.65000,5243
6.65833,5255
6.66667,5270
6.67500,5286
6.68333,5302
6.69167,5318
6.70000,5333
6.70833,5349
6.71667,5369
6.72500,5404
6.73333,5479
6.74167,5640
6.75000,5945
6.75833,6430
6.76667,7058
6.77500,7697
6.78333,8162
6.79167,8313
6.80000,8128
6.80833,7696
6.81667,7155
6.82500,6628
6.83333,6187
6.84167,5853
6.85000,5619
6.85833,5463
6.86667,5364
6.87500,5302
6.88333,5261
6.89167,5234
6.90000,5213
6.90833,5196
6.91667,5179
6.92500,5163
6.93333,5146
6.94167,5130
6.95000,5113
6.95833,5093
6.96667,5070
6.97500,5042
6.98333,5009
6.99167,4971
7.00000,4927
7.00833,4879
7.01667,4827
7.02500,4772
7.03333,4715
7.04167,4657
7.05000,4597
7.05833,4535
7.06667,4470
7.07500,4399
7.08333,4322
7.09167,4234
7.10000,4132
7.10833,4014
7.11667,3878
7.12500,3719
7.13333,3533
7.14167,3316
7.15000,3067
7.15833,2784
7.16667,2469
7.17500,2129
7.18333,1771
7.19167,1401
7.20000,1028
7.20833,660
7.21667,302
7.22500,-43
7.23333,-373
7.24167,-688
7.25000,-988
7.25833,-1270
7.26667,-1529
7.27500,-1762
7.28333,-1964
7.29167,-2133
7.30000,-2267
7.30833,-2367
7.31667,-2434
7.32500,-2474
7.33333,-2490
7.34167,-2484
7.35000,-2461
7.35833,-2425
7.36667,-2381
7.37500,-2333
7.38333,-2282
7.39167,-2229
7.40000,-2175
7.40833,-2122
7.41667,-2070
7.42500,-2020
7.43333,-1971
7.44167,-1925
7.45000,-1882
7.45833,-1840
7.46667,-1799
7.47500,-1760
7.48333,-1723
7.49167,-1690
7.50000,-1658
7.50833,-1628
7.51667,-1601
7.52500,-1577
7.53333,-1556
7.54167,-1537
7.55000,-1519
7.55833,-1502
7.56667,-1486
7.57500,-1472
7.58333,-1459
7.59167,-1448
7.60000,-1438
7.60833,-1429
7.61667,-1421
7.62500,-1413
7.63333,-1406
7.64167,-1400
7.65000,-1395
7.65833,-1390
7.66667,-1386
7.67500,-1382
7.68333,-1379
7.69167,-1376
7.70000,-1373
7.70833,-1370
7.71667,-1366
7.72500,-1362
7.73333,-1358
7.74167,-1355
7.75000,-1354
7.75833,-1352
7.76667,-1350
7.77500,-1348
7.78333,-1346
7.79167,-1343
7.80000,-1340
7.80833,-1338
7.81667,-1336
7.82500,-1334
7.83333,-1332
7.84167,-1329
7.85000,-1326
7.85833,-1323
7.86667,-1320
7.87500,-1316
7.88333,-1312
7.89167,-1308
7.90000,-1305
7.90833,-1302
7.91667,-1299
7.92500,-1296
7.93333,-1293
7.94167,-1291
7.95000,-1289
7.95833,-1286
7.96667,-1284
7.97500,-1283
7.98333,-1282
7.99167,-1281
8.00000,-1282
8.00833,-1282
8.01667,-1282
8.02500,-1282
8.03333,-1283
8.04167,-1282
8.05000,-1282
8.05833,-1282
8.06667,-1282
8.07500,-1281
8.08333,-1282
8.09167,-1283
8.10000,-1282
8.10833,-1283
8.11667,-1284
8.12500,-1283
8.13333,-1283
8.14167,-1282
